title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Mass Effect Legendary Edition  Part 3: Mass Effect 3,BioWare,Electronic Arts,2021-05-14,"Xbox One,  PlayStation 4,  PC","Compilation,  RPG",8,Dan Stapleton
Call of Duty: Vanguard - Single-Player Campaign ,"Treyarch,  Sledgehammer Games",Activision,2021-11-05,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC","Shooter,  First-Person",7,Simon Cardy
Shin Megami Tensei V ,Atlus,Atlus,2021-11-12,Nintendo Switch,RPG,8,Leana Hafer
Forza Horizon 5 ,Playground Games,Xbox Game Studios,2021-11-09,"PC,  Xbox Series X|S,  Xbox One",Racing,10,Luke Reilly
Riders Republic ,Ubisoft Annecy,Ubisoft,2021-10-28,"Stadia,  PlayStation 5,  PlayStation 4,  Xbox One,  Xbox Series X|S","Sports,  Extreme Sports",8,Travis Northup
Galaxy Trucker Board Game ,,Czech Games Edition,2021-11-03,Tabletop,"Simulation,  Party,  Board",7,Matt Thrower
Darkest Dungeon 2 Early Access ,Red Hook Studios,Red Hook Studios,2021-10-26,"PC,  TBA","RPG,  Roguelike / Rogue-Lite",7,Rowan Kaiser 
Unpacking ,Witch Beam,Witch Beam,,PC,Puzzle,8,Sarah LeBoeuf
Fracked ,nDreams,nDreams,2021-08-19,PlayStation 4,"Action,  Adventure,  VR",7,Chris Reed
Disciples: Liberation ,Frima Studios,Kalypso Media,2021-10-21,"PlayStation 5,  PlayStation 4,  Xbox Series X|S,  Xbox One,  PC","RPG,  Strategy",7,Jon Bolding
Inscryption ,Daniel Mullins Games,Devolver Digital,2021-10-19,PC,"Adventure,  Horror,  Roguelike / Rogue-Lite,  Deckbuilder",9,Tom Marks
Mario Party Superstars ,NDCube,Nintendo,2021-10-29,Nintendo Switch,"Compilation,  Party",8,Mitchell Saltzman
Furnace Board Game ,,Arcane Wonders,2021-09-15,Tabletop,Simulation,7,Matt Thrower
