population_2024,population_growthRate,land_area,country,region,unMember,population_density,population_densityMi,share_borders,Hdi2021,Hdi2020,WorldHappiness2022
1441719852,0.00916,3287590,India,Asia,TRUE,484.9067,1255.9084,"AFG, BGD, BTN, MMR, CHN, NPL, PAK, LKA",0.633,0.642,3.777
1425178782,-0.00035,9706961,China,Asia,TRUE,151.2174,391.653,"AFG, BTN, MMR, HKG, IND, KAZ, PRK, KGZ, LAO, MAC, MNG, PAK, RUS, TJK, VNM",0.768,0.764,5.585
341814420,0.00535,9372610,United States,North America,TRUE,37.3673,96.7813,"CAN, MEX",0.921,0.92,6.977
279798049,0.00816,1904569,Indonesia,Asia,TRUE,149.0254,385.9758,"TLS, MYS, PNG",0.705,0.709,5.24
245209815,0.01964,881912,Pakistan,Asia,TRUE,318.0908,823.8551,"AFG, CHN, IND, IRN",0.544,0.543,4.516
229152217,0.02389,923768,Nigeria,Africa,TRUE,251.6027,651.6511,"BEN, CMR, TCD, NER",0.535,0.535,4.552
217637297,0.00561,8515767,Brazil,South America,TRUE,26.039,67.4409,"ARG, BOL, COL, GUF, GUY, PRY, PER, SUR, URY, VEN",0.754,0.758,6.293
174701211,0.0101,147570,Bangladesh,Asia,TRUE,1342.1004,3476.0401,"MMR, IND",0.661,0.655,5.155
143957079,-0.00337,17098242,Russia,Europe,TRUE,8.7903,22.7668,"AZE, BLR, CHN, EST, FIN, GEO, KAZ, PRK, LVA, LTU, MNG, NOR, POL, UKR",0.829,0.83,5.459
129719719,0.02523,1104300,Ethiopia,Africa,TRUE,114.9415,297.6986,"DJI, ERI, KEN, SOM, SSD, SDN",0.498,0.498,4.241
129388467,0.00726,1964375,Mexico,North America,TRUE,66.5596,172.3893,"BLZ, GTM, USA",0.758,0.756,6.128
122631432,-0.00538,377930,Japan,Asia,TRUE,336.4374,871.3729,,0.925,0.923,6.039
119106224,0.01508,342353,Philippines,Asia,TRUE,399.4574,1034.5948,,0.699,0.71,5.904
114484252,0.01568,1002450,Egypt,Africa,TRUE,115.0075,297.8695,"ISR, LBY, SDN",0.731,0.734,4.288
99497680,0.00646,331212,Vietnam,Asia,TRUE,317.4489,822.1926,"KHM, CHN, LAO",0.703,0.71,5.485
86260417,0.00518,783562,Turkey,Asia,TRUE,110.0875,285.1267,"ARM, AZE, BGR, GEO, GRC, IRN, IRQ, SYR",0.838,0.833,4.744
83252474,-0.00051,357114,Germany,Europe,TRUE,238.2795,617.1439,"AUT, BEL, CZE, DNK, FRA, LUX, NLD, POL, CHE",0.942,0.944,7.034
71885799,0.00118,513120,Thailand,Asia,TRUE,140.707,364.4311,"MMR, KHM, LAO, MYS",0.8,0.802,5.891
69419073,0.02938,945087,Tanzania,Africa,TRUE,78.3688,202.9752,"BDI, COD, KEN, MWI, MOZ, RWA, UGA, ZMB",0.549,0.548,3.702
67961439,0.00332,242900,United Kingdom,Europe,TRUE,280.9136,727.5663,IRL,0.929,0.924,6.943
64881830,0.00193,551695,France,Europe,TRUE,118.4933,306.8976,"AND, BEL, DEU, ITA, LUX, MCO, ESP, CHE",0.903,0.898,6.687
61020221,0.01003,1221037,South Africa,Africa,TRUE,50.3015,130.2808,"BWA, LSO, MOZ, NAM, SWZ, ZWE",0.713,0.727,5.194
58697744,-0.00294,301336,Italy,Europe,TRUE,198.493,514.0968,"AUT, FRA, SMR, SVN, CHE, VAT",0.895,0.889,6.467
56203030,0.02001,580367,Kenya,Africa,TRUE,98.7508,255.7646,"ETH, SOM, SSD, TZA, UGA",0.575,0.578,4.543
54964694,0.00709,676578,Myanmar,Asia,TRUE,84.2151,218.1172,"BGD, CHN, IND, LAO, THA",0.585,0.6,4.394
52340774,0.00491,1141748,Colombia,South America,TRUE,47.1751,122.1835,"BRA, ECU, PAN, PER, VEN",0.752,0.756,5.781
51741963,-0.00081,100210,South Korea,Asia,TRUE,530.1431,1373.0705,PRK,0.925,0.922,5.935
49924252,0.02762,241550,Uganda,Africa,TRUE,248.9739,644.8425,"COD, KEN, RWA, SSD, TZA",0.525,0.524,4.603
49358228,0.02597,1886068,Sudan,Africa,TRUE,26.423,68.4357,"CAF, TCD, EGY, ERI, ETH, LBY, SSD",0.508,0.51,4.362
47473373,-0.00097,505992,Spain,Europe,TRUE,95.031,246.1303,"AND, FRA, GIB, PRT, MAR",0.905,0.899,6.476
46523657,0.0224,438317,Iraq,Asia,TRUE,107.1658,277.5593,"IRN, JOR, KWT, SAU, SYR, TUR",0.686,0.679,4.941
46278751,0.01474,2381741,Algeria,Africa,TRUE,19.4306,50.3254,"TUN, LBY, NER, ESH, MRT, MLI, MAR",0.745,0.736,5.122
46057866,0.0062,2780400,Argentina,South America,TRUE,16.8298,43.5891,"BOL, BRA, CHL, PRY, URY",0.842,0.84,5.967
43372950,0.02683,652230,Afghanistan,Asia,TRUE,66.4995,172.2336,"IRN, PAK, TKM, UZB, TJK, CHN",0.478,0.483,2.404
40221726,-0.01961,312679,Poland,Europe,TRUE,131.3877,340.2942,"BLR, CZE, DEU, LTU, RUS, SVK, UKR",0.876,0.876,6.123
39107046,0.0084,9984670,Canada,North America,TRUE,4.3619,11.2973,USA,0.936,0.931,7.025
38211459,0.00982,446550,Morocco,Africa,TRUE,85.6183,221.7515,"DZA, ESH, ESP",0.683,0.679,5.06
37937821,0.03247,603500,Ukraine,Europe,TRUE,65.4778,169.5874,"BLR, HUN, MDA, POL, ROU, RUS, SVK",0.773,0.775,5.084
37473929,0.01426,2149690,Saudi Arabia,Asia,TRUE,17.4322,45.1495,"IRQ, JOR, KWT, OMN, QAT, ARE, YEM",0.875,0.87,6.523
35673804,0.0145,447400,Uzbekistan,Asia,TRUE,80.9572,209.6792,"AFG, KAZ, KGZ, TJK, TKM",0.727,0.721,6.063
35219853,0.02235,527968,Yemen,Asia,TRUE,66.7081,172.7739,"OMN, SAU",0.455,0.46,4.197
34858402,0.02835,801590,Mozambique,Africa,TRUE,44.3277,114.8087,"MWI, ZAF, SWZ, TZA, ZMB, ZWE",0.446,0.453,5.048
34777522,0.01921,238533,Ghana,Africa,TRUE,152.8461,395.8713,"BFA, CIV, TGO",0.632,0.632,4.872
34683444,0.00963,1285216,Peru,South America,TRUE,27.0964,70.1798,"BOL, BRA, CHL, COL, ECU",0.762,0.762,5.559
34671895,0.01059,330803,Malaysia,Asia,TRUE,105.53,273.3228,"BRN, IDN, THA",0.803,0.806,5.711
31240315,0.01113,147181,Nepal,Asia,TRUE,217.9303,564.4396,"CHN, IND",0.602,0.604,5.377
31056610,0.0241,587041,Madagascar,Africa,TRUE,53.3802,138.2548,,0.501,0.501,4.339
