year,field_of_study,major,students
1998/99,Agriculture,Agriculture,6146
1998/99,Agriculture,Natural Resources and Conservation,1803
1998/99,Business and Management,Business and Management,101360
1998/99,Communications and Journalism,"Communication, Journalism",9473
1998/99,Communications and Journalism,Communications Technologies/Technicians,1761
1998/99,Education,Education,13261
1998/99,Engineering,Construction Trades,223
1998/99,Engineering,Engineering,66264
1998/99,Engineering,Engineering Technologies/Technicians,5028
1998/99,Engineering,Mechanic and Repair Technologies/Technicians,476
1998/99,Engineering,Military Technologies,58
1998/99,Engineering,Precision Production,161
1998/99,Engineering,Transportation and Materials Moving,804
1998/99,Fine and Applied Arts,Architecture,6454
1998/99,Fine and Applied Arts,Visual and Performing Arts,25032
1998/99,Health Professions,Health Professions,20260
1998/99,Health Professions,Residency Programs,
1998/99,Humanities,English Language and Literature/Letters,5762
1998/99,Humanities,"Foreign Languages, Literatures and Linguistics",5066
1998/99,Humanities,Philosophy and Religious Studies,1933
1998/99,Humanities,Theology and Religious Vocations,3534
1998/99,Intensive English,Intensive English,21030
1998/99,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",530
1998/99,Legal Studies and Law Enforcement,Legal Professions and Studies,4873
1998/99,Math and Computer Science,Computer and Information Sciences,40085
1998/99,Math and Computer Science,Mathematics and Statistics,8151
1998/99,Other Fields of Study,Basic Skills,
1998/99,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3046
1998/99,Other Fields of Study,Liberal Arts and Sciences/General Studies,25632
1998/99,Other Fields of Study,Library Science,651
1998/99,Other Fields of Study,Multi/Interdisciplinary Studies,3799
1998/99,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2277
1998/99,Other Fields of Study,Personal and Culinary Services,723
1998/99,Other Fields of Study,Reserve Officer Training Corps,
1998/99,Physical and Life Sciences,Biological and Biomedical Sciences,18825
1998/99,Physical and Life Sciences,Physical Sciences,17265
1998/99,Physical and Life Sciences,Science Technologies/Technicians,965
1998/99,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2170
1998/99,Social Sciences,History,
1998/99,Social Sciences,Psychology,7500
1998/99,Social Sciences,Public Administration and Social Service Professions,4032
1998/99,Social Sciences,Social Sciences,23553
1998/99,Undeclared,Undeclared,30970
