year,origin_region,origin,academic_type,students
2000/01,"Africa, Subsaharan","Africa, Subsaharan, Unspecified",Graduate,2
2000/01,"Africa, Subsaharan","Africa, Subsaharan, Unspecified",Other,0
2000/01,"Africa, Subsaharan","Africa, Subsaharan, Unspecified",Undergraduate,6
2000/01,Asia,"Asia, Unspecified",Graduate,0
2000/01,Asia,"Asia, Unspecified",Other,6
2000/01,Asia,"Asia, Unspecified",Undergraduate,0
2000/01,Caribbean,Anguilla,Graduate,5
2000/01,Caribbean,Anguilla,Other,1
2000/01,Caribbean,Anguilla,Undergraduate,59
2000/01,Caribbean,Antigua and Barbuda,Graduate,32
2000/01,Caribbean,Antigua and Barbuda,Other,4
2000/01,Caribbean,Antigua and Barbuda,Undergraduate,236
2000/01,Caribbean,Aruba,Graduate,4
2000/01,Caribbean,Aruba,Other,3
2000/01,Caribbean,Aruba,Undergraduate,78
2000/01,Caribbean,Bahamas,Graduate,229
2000/01,Caribbean,Bahamas,Other,31
2000/01,Caribbean,Bahamas,Undergraduate,1503
2000/01,Caribbean,Barbados,Graduate,136
2000/01,Caribbean,Barbados,Other,15
2000/01,Caribbean,Barbados,Undergraduate,496
2000/01,Caribbean,Bermuda,Graduate,94
2000/01,Caribbean,Bermuda,Other,12
2000/01,Caribbean,Bermuda,Undergraduate,502
2000/01,Caribbean,British Virgin Islands,Graduate,9
2000/01,Caribbean,British Virgin Islands,Other,5
2000/01,Caribbean,British Virgin Islands,Undergraduate,70
2000/01,Caribbean,"Caribbean, Unspecified",Graduate,17
2000/01,Caribbean,"Caribbean, Unspecified",Other,0
2000/01,Caribbean,"Caribbean, Unspecified",Undergraduate,81
2000/01,Caribbean,Cayman Islands,Graduate,17
2000/01,Caribbean,Cayman Islands,Other,1
2000/01,Caribbean,Cayman Islands,Undergraduate,224
2000/01,Caribbean,Cuba,Graduate,29
2000/01,Caribbean,Cuba,Other,6
2000/01,Caribbean,Cuba,Undergraduate,481
2000/01,Caribbean,Dominica,Graduate,64
2000/01,Caribbean,Dominica,Other,7
2000/01,Caribbean,Dominica,Undergraduate,187
2000/01,Caribbean,Dominican Republic,Graduate,204
2000/01,Caribbean,Dominican Republic,Other,76
2000/01,Caribbean,Dominican Republic,Undergraduate,589
2000/01,Caribbean,Grenada,Graduate,44
2000/01,Caribbean,Grenada,Other,7
2000/01,Caribbean,Grenada,Undergraduate,229
2000/01,Caribbean,Guadeloupe,Graduate,2
2000/01,Caribbean,Guadeloupe,Other,0
2000/01,Caribbean,Guadeloupe,Undergraduate,7
2000/01,Caribbean,Haiti,Graduate,146
2000/01,Caribbean,Haiti,Other,32
2000/01,Caribbean,Haiti,Undergraduate,833
2000/01,Caribbean,Jamaica,Graduate,883
2000/01,Caribbean,Jamaica,Other,124
2000/01,Caribbean,Jamaica,Undergraduate,3219
2000/01,Caribbean,Martinique,Graduate,0
2000/01,Caribbean,Martinique,Other,0
2000/01,Caribbean,Martinique,Undergraduate,8
2000/01,Caribbean,Montserrat,Graduate,4
2000/01,Caribbean,Montserrat,Other,0
2000/01,Caribbean,Montserrat,Undergraduate,6
2000/01,Caribbean,Netherlands Antilles,Graduate,56
2000/01,Caribbean,Netherlands Antilles,Other,11
2000/01,Caribbean,Netherlands Antilles,Undergraduate,285
2000/01,Caribbean,St. Kitts and Nevis,Graduate,35
2000/01,Caribbean,St. Kitts and Nevis,Other,2
2000/01,Caribbean,St. Kitts and Nevis,Undergraduate,234
2000/01,Caribbean,St. Lucia,Graduate,37
2000/01,Caribbean,St. Lucia,Other,9
2000/01,Caribbean,St. Lucia,Undergraduate,221
2000/01,Caribbean,St. Vincent and the Grenadines,Graduate,16
2000/01,Caribbean,St. Vincent and the Grenadines,Other,1
2000/01,Caribbean,St. Vincent and the Grenadines,Undergraduate,122
2000/01,Caribbean,Trinidad and Tobago,Graduate,494
2000/01,Caribbean,Trinidad and Tobago,Other,76
2000/01,Caribbean,Trinidad and Tobago,Undergraduate,2330
2000/01,Caribbean,Turks and Caicos,Graduate,11
2000/01,Caribbean,Turks and Caicos,Other,0
2000/01,Caribbean,Turks and Caicos,Undergraduate,37
2000/01,Central Africa,Cameroon,Graduate,260
2000/01,Central Africa,Cameroon,Other,40
2000/01,Central Africa,Cameroon,Undergraduate,570
2000/01,Central Africa,"Central Africa, Unspecified",Graduate,0
2000/01,Central Africa,"Central Africa, Unspecified",Other,0
2000/01,Central Africa,"Central Africa, Unspecified",Undergraduate,6
2000/01,Central Africa,Central African Republic,Graduate,4
2000/01,Central Africa,Central African Republic,Other,1
2000/01,Central Africa,Central African Republic,Undergraduate,13
2000/01,Central Africa,Chad,Graduate,14
2000/01,Central Africa,Chad,Other,4
2000/01,Central Africa,Chad,Undergraduate,33
2000/01,Central Africa,"Congo, Dem. Rep. of the (Kinshasa)",Graduate,70
2000/01,Central Africa,"Congo, Dem. Rep. of the (Kinshasa)",Other,15
2000/01,Central Africa,"Congo, Dem. Rep. of the (Kinshasa)",Undergraduate,327
2000/01,Central Africa,"Congo, Republic of the (Brazzaville)",Graduate,0
2000/01,Central Africa,"Congo, Republic of the (Brazzaville)",Other,0
2000/01,Central Africa,"Congo, Republic of the (Brazzaville)",Undergraduate,0
2000/01,Central Africa,Equatorial Guinea,Graduate,5
2000/01,Central Africa,Equatorial Guinea,Other,1
2000/01,Central Africa,Equatorial Guinea,Undergraduate,38
2000/01,Central Africa,Gabon,Graduate,17
2000/01,Central Africa,Gabon,Other,13
2000/01,Central Africa,Gabon,Undergraduate,68
2000/01,Central Africa,São Tomé and Príncipe,Graduate,5
2000/01,Central Africa,São Tomé and Príncipe,Other,0
2000/01,Central Africa,São Tomé and Príncipe,Undergraduate,8
2000/01,East Africa,Burundi,Graduate,13
2000/01,East Africa,Burundi,Other,0
2000/01,East Africa,Burundi,Undergraduate,42
2000/01,East Africa,Djibouti,Graduate,1
2000/01,East Africa,Djibouti,Other,1
2000/01,East Africa,Djibouti,Undergraduate,6
2000/01,East Africa,"East Africa, Unspecified",Graduate,1
2000/01,East Africa,"East Africa, Unspecified",Other,0
2000/01,East Africa,"East Africa, Unspecified",Undergraduate,1
2000/01,East Africa,Eritrea,Graduate,76
2000/01,East Africa,Eritrea,Other,11
2000/01,East Africa,Eritrea,Undergraduate,46
2000/01,East Africa,Ethiopia,Graduate,395
2000/01,East Africa,Ethiopia,Other,35
2000/01,East Africa,Ethiopia,Undergraduate,775
2000/01,East Africa,Kenya,Graduate,1406
2000/01,East Africa,Kenya,Other,240
2000/01,East Africa,Kenya,Undergraduate,4583
2000/01,East Africa,Rwanda,Graduate,38
2000/01,East Africa,Rwanda,Other,4
2000/01,East Africa,Rwanda,Undergraduate,219
2000/01,East Africa,Seychelles,Graduate,0
2000/01,East Africa,Seychelles,Other,0
2000/01,East Africa,Seychelles,Undergraduate,13
2000/01,East Africa,Somalia,Graduate,11
2000/01,East Africa,Somalia,Other,1
2000/01,East Africa,Somalia,Undergraduate,83
2000/01,East Africa,Sudan,Graduate,164
2000/01,East Africa,Sudan,Other,22
2000/01,East Africa,Sudan,Undergraduate,179
2000/01,East Africa,Tanzania,Graduate,306
2000/01,East Africa,Tanzania,Other,62
2000/01,East Africa,Tanzania,Undergraduate,1160
2000/01,East Africa,Uganda,Graduate,291
2000/01,East Africa,Uganda,Other,20
2000/01,East Africa,Uganda,Undergraduate,443
2000/01,East Asia,China,Graduate,48029
2000/01,East Asia,China,Other,3658
2000/01,East Asia,China,Undergraduate,8252
2000/01,East Asia,"East Asia, Unspecified",Graduate,116
2000/01,East Asia,"East Asia, Unspecified",Other,0
2000/01,East Asia,"East Asia, Unspecified",Undergraduate,0
2000/01,East Asia,Hong Kong,Graduate,1499
2000/01,East Asia,Hong Kong,Other,493
2000/01,East Asia,Hong Kong,Undergraduate,5635
2000/01,East Asia,Japan,Graduate,8560
2000/01,East Asia,Japan,Other,5800
2000/01,East Asia,Japan,Undergraduate,32136
2000/01,East Asia,Macau,Graduate,80
2000/01,East Asia,Macau,Other,35
2000/01,East Asia,Macau,Undergraduate,257
2000/01,East Asia,Mongolia,Graduate,136
2000/01,East Asia,Mongolia,Other,36
2000/01,East Asia,Mongolia,Undergraduate,270
2000/01,East Asia,North Korea,Graduate,44
2000/01,East Asia,North Korea,Other,6
2000/01,East Asia,North Korea,Undergraduate,77
2000/01,East Asia,South Korea,Graduate,21568
2000/01,East Asia,South Korea,Other,5336
2000/01,East Asia,South Korea,Undergraduate,18781
2000/01,East Asia,Taiwan,Graduate,15022
2000/01,East Asia,Taiwan,Other,2876
2000/01,East Asia,Taiwan,Undergraduate,10668
2000/01,Europe,Albania,Graduate,230
2000/01,Europe,Albania,Other,55
2000/01,Europe,Albania,Undergraduate,832
2000/01,Europe,Andorra,Graduate,1
2000/01,Europe,Andorra,Other,0
2000/01,Europe,Andorra,Undergraduate,4
2000/01,Europe,Armenia,Graduate,243
2000/01,Europe,Armenia,Other,22
2000/01,Europe,Armenia,Undergraduate,101
2000/01,Europe,Austria,Graduate,411
2000/01,Europe,Austria,Other,110
2000/01,Europe,Austria,Undergraduate,540
2000/01,Europe,Azerbaijan,Graduate,134
2000/01,Europe,Azerbaijan,Other,27
2000/01,Europe,Azerbaijan,Undergraduate,93
2000/01,Europe,Belarus,Graduate,127
2000/01,Europe,Belarus,Other,18
2000/01,Europe,Belarus,Undergraduate,167
2000/01,Europe,Belgium,Graduate,366
2000/01,Europe,Belgium,Other,91
2000/01,Europe,Belgium,Undergraduate,424
2000/01,Europe,Bosnia and Herzegovina,Graduate,122
2000/01,Europe,Bosnia and Herzegovina,Other,21
2000/01,Europe,Bosnia and Herzegovina,Undergraduate,335
2000/01,Europe,Bulgaria,Graduate,1122
2000/01,Europe,Bulgaria,Other,125
2000/01,Europe,Bulgaria,Undergraduate,2024
2000/01,Europe,Croatia,Graduate,320
2000/01,Europe,Croatia,Other,41
2000/01,Europe,Croatia,Undergraduate,420
2000/01,Europe,Cyprus,Graduate,646
2000/01,Europe,Cyprus,Other,73
2000/01,Europe,Cyprus,Undergraduate,1497
2000/01,Europe,Czechia/Czech Republic,Graduate,309
2000/01,Europe,Czechia/Czech Republic,Other,78
2000/01,Europe,Czechia/Czech Republic,Undergraduate,725
2000/01,Europe,"Czechoslovakia, Former",Graduate,26
2000/01,Europe,"Czechoslovakia, Former",Other,0
2000/01,Europe,"Czechoslovakia, Former",Undergraduate,13
2000/01,Europe,Denmark,Graduate,345
2000/01,Europe,Denmark,Other,170
2000/01,Europe,Denmark,Undergraduate,492
2000/01,Europe,Estonia,Graduate,85
2000/01,Europe,Estonia,Other,13
2000/01,Europe,Estonia,Undergraduate,188
2000/01,Europe,"Europe, Unspecified",Graduate,0
2000/01,Europe,"Europe, Unspecified",Other,0
2000/01,Europe,"Europe, Unspecified",Undergraduate,0
2000/01,Europe,Finland,Graduate,240
2000/01,Europe,Finland,Other,54
2000/01,Europe,Finland,Undergraduate,599
2000/01,Europe,France,Graduate,3071
2000/01,Europe,France,Other,978
2000/01,Europe,France,Undergraduate,3223
2000/01,Europe,Georgia,Graduate,127
2000/01,Europe,Georgia,Other,33
2000/01,Europe,Georgia,Undergraduate,169
2000/01,Europe,Germany,Graduate,4535
2000/01,Europe,Germany,Other,1093
2000/01,Europe,Germany,Undergraduate,4500
2000/01,Europe,Gibraltar,Graduate,1
2000/01,Europe,Gibraltar,Other,0
2000/01,Europe,Gibraltar,Undergraduate,2
2000/01,Europe,Greece,Graduate,1605
2000/01,Europe,Greece,Other,136
2000/01,Europe,Greece,Undergraduate,1027
2000/01,Europe,Holy See,Graduate,0
2000/01,Europe,Holy See,Other,2
2000/01,Europe,Holy See,Undergraduate,3
2000/01,Europe,Hungary,Graduate,479
2000/01,Europe,Hungary,Other,69
2000/01,Europe,Hungary,Undergraduate,625
2000/01,Europe,Iceland,Graduate,290
2000/01,Europe,Iceland,Other,24
2000/01,Europe,Iceland,Undergraduate,244
2000/01,Europe,Ireland,Graduate,421
2000/01,Europe,Ireland,Other,84
2000/01,Europe,Ireland,Undergraduate,581
2000/01,Europe,Italy,Graduate,1970
2000/01,Europe,Italy,Other,361
2000/01,Europe,Italy,Undergraduate,1159
2000/01,Europe,Kosovo,Graduate,0
2000/01,Europe,Kosovo,Other,0
2000/01,Europe,Kosovo,Undergraduate,0
2000/01,Europe,Latvia,Graduate,132
2000/01,Europe,Latvia,Other,23
2000/01,Europe,Latvia,Undergraduate,228
2000/01,Europe,Liechtenstein,Graduate,4
2000/01,Europe,Liechtenstein,Other,0
2000/01,Europe,Liechtenstein,Undergraduate,9
2000/01,Europe,Lithuania,Graduate,154
2000/01,Europe,Lithuania,Other,39
2000/01,Europe,Lithuania,Undergraduate,300
2000/01,Europe,Luxembourg,Graduate,30
2000/01,Europe,Luxembourg,Other,5
2000/01,Europe,Luxembourg,Undergraduate,38
2000/01,Europe,Malta,Graduate,30
2000/01,Europe,Malta,Other,2
