year,academic_type,source_type,source_of_fund,students
1999/00,Undergraduate,International,Personal and Family,201578
1999/00,Undergraduate,International,Foreign Government or University,9742
1999/00,Undergraduate,International,Foreign Private Sponsor,6245
1999/00,Undergraduate,International,International Organization,749
1999/00,Undergraduate,U.S.,Current Employment,749
1999/00,Undergraduate,U.S.,U.S. College or University,20482
1999/00,Undergraduate,U.S.,U.S. Government,1499
1999/00,Undergraduate,U.S.,U.S. Private Sponsor,7993
1999/00,Undergraduate,Other,Other Sources,749
1999/00,Graduate,International,Personal and Family,106380
1999/00,Graduate,International,Foreign Government or University,12171
1999/00,Graduate,International,Foreign Private Sponsor,6311
1999/00,Graduate,International,International Organization,1578
1999/00,Graduate,U.S.,Current Employment,3832
1999/00,Graduate,U.S.,U.S. College or University,84969
1999/00,Graduate,U.S.,U.S. Government,1803
1999/00,Graduate,U.S.,U.S. Private Sponsor,5409
1999/00,Graduate,Other,Other Sources,2930
1999/00,Other ,International,Personal and Family,25789
1999/00,Other ,International,Foreign Government or University,1543
1999/00,Other ,International,Foreign Private Sponsor,1226
1999/00,Other ,International,International Organization,514
1999/00,Other ,U.S.,Current Employment,6922
1999/00,Other ,U.S.,U.S. College or University,2294
1999/00,Other ,U.S.,U.S. Government,119
1999/00,Other ,U.S.,U.S. Private Sponsor,356
1999/00,Other ,Other,Other Sources,791
2000/01,Undergraduate,International,Personal and Family,210765
2000/01,Undergraduate,International,Foreign Government or University,9391
2000/01,Undergraduate,International,Foreign Private Sponsor,7043
2000/01,Undergraduate,International,International Organization,783
2000/01,Undergraduate,U.S.,Current Employment,1043
2000/01,Undergraduate,U.S.,U.S. College or University,21911
2000/01,Undergraduate,U.S.,U.S. Government,1043
2000/01,Undergraduate,U.S.,U.S. Private Sponsor,7304
2000/01,Undergraduate,Other,Other Sources,1565
2000/01,Graduate,International,Personal and Family,114866
2000/01,Graduate,International,Foreign Government or University,10998
2000/01,Graduate,International,Foreign Private Sponsor,5132
2000/01,Graduate,International,International Organization,1222
2000/01,Graduate,U.S.,Current Employment,3422
2000/01,Graduate,U.S.,U.S. College or University,97515
2000/01,Graduate,U.S.,U.S. Government,2200
2000/01,Graduate,U.S.,U.S. Private Sponsor,5621
2000/01,Graduate,Other,Other Sources,3422
2000/01,Other ,International,Personal and Family,27747
2000/01,Other ,International,Foreign Government or University,1662
2000/01,Other ,International,Foreign Private Sponsor,895
2000/01,Other ,International,International Organization,341
2000/01,Other ,U.S.,Current Employment,8055
2000/01,Other ,U.S.,U.S. College or University,2600
2000/01,Other ,U.S.,U.S. Government,341
2000/01,Other ,U.S.,U.S. Private Sponsor,426
2000/01,Other ,Other,Other Sources,554
2001/02,Undergraduate,International,Personal and Family,216903
2001/02,Undergraduate,International,Foreign Government or University,9431
2001/02,Undergraduate,International,Foreign Private Sponsor,5928
2001/02,Undergraduate,International,International Organization,539
2001/02,Undergraduate,U.S.,Current Employment,539
2001/02,Undergraduate,U.S.,U.S. College or University,24789
2001/02,Undergraduate,U.S.,U.S. Government,1347
2001/02,Undergraduate,U.S.,U.S. Private Sponsor,9431
2001/02,Undergraduate,Other,Other Sources,539
2001/02,Graduate,International,Personal and Family,139388
2001/02,Graduate,International,Foreign Government or University,10576
2001/02,Graduate,International,Foreign Private Sponsor,5152
2001/02,Graduate,International,International Organization,1356
2001/02,Graduate,U.S.,Current Employment,4068
2001/02,Graduate,U.S.,U.S. College or University,102778
2001/02,Graduate,U.S.,U.S. Government,2441
2001/02,Graduate,U.S.,U.S. Private Sponsor,4881
2001/02,Graduate,Other,Other Sources,542
2001/02,Other ,International,Personal and Family,29912
2001/02,Other ,International,Foreign Government or University,1525
2001/02,Other ,International,Foreign Private Sponsor,763
2001/02,Other ,International,International Organization,212
2001/02,Other ,U.S.,Current Employment,5804
2001/02,Other ,U.S.,U.S. College or University,2966
2001/02,Other ,U.S.,U.S. Government,212
2001/02,Other ,U.S.,U.S. Private Sponsor,805
2001/02,Other ,Other,Other Sources,169
2002/03,Undergraduate,International,Personal and Family,210787
2002/03,Undergraduate,International,Foreign Government or University,6722
2002/03,Undergraduate,International,Foreign Private Sponsor,12637
2002/03,Undergraduate,International,International Organization,269
2002/03,Undergraduate,U.S.,Current Employment,807
2002/03,Undergraduate,U.S.,U.S. College or University,25004
2002/03,Undergraduate,U.S.,U.S. Government,807
2002/03,Undergraduate,U.S.,U.S. Private Sponsor,8873
2002/03,Undergraduate,Other,Other Sources,2958
2002/03,Graduate,International,Personal and Family,142840
2002/03,Graduate,International,Foreign Government or University,7858
2002/03,Graduate,International,Foreign Private Sponsor,5332
2002/03,Graduate,International,International Organization,1123
2002/03,Graduate,U.S.,Current Employment,3368
2002/03,Graduate,U.S.,U.S. College or University,107481
2002/03,Graduate,U.S.,U.S. Government,2245
2002/03,Graduate,U.S.,U.S. Private Sponsor,4209
2002/03,Graduate,Other,Other Sources,6174
2002/03,Other ,International,Personal and Family,23461
2002/03,Other ,International,Foreign Government or University,1731
